card_variant_id,card_canonical_code,card_card_code,card_name,candidate_market_product_pk,candidate_market_product_external_id,match_score,match_reasons,ambiguity_notes,pool_size,scored_candidates,match_confidence,needs_manual_review
135,EB01-040,,Kyros,2760,544574,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
158,EB01-046,,Brook,2767,544581,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
165,EB01-048,,Laboon,2770,544584,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
171,EB01-049,,T-Bone,2772,544586,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
182,EB01-052,,Viola,2776,544590,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
192,EB01-056,,Charlotte Flampe,2781,544595,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
198,EB01-057,,Shirahoshi,2783,544597,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
213,EB01-061,,Mr.2.Bon.Kurei(Bentham),2788,544602,111,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;name_token_overlap;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
223,EB02-003,,Tony Tony.Chopper,3913,629092,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
231,EB02-006,,Yamato,3917,629096,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
244,EB02-010,,Monkey.D.Luffy,3922,629101,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
251,EB02-011,,Arlong,3924,629103,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
261,EB02-015,,Jewelry Bonney,3929,629108,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
267,EB02-017,,Nami,3932,629111,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
268,EB02-017,,Nami,3932,629111,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
284,EB02-022,,Usopp,3938,629117,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
294,EB02-026,,Nefeltari Vivi,3943,629122,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
319,EB02-035,,Sanji & Pudding,3953,629132,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
323,EB02-036,,Nico Robin,3955,629134,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
343,EB02-044,,Sengoku,3964,629143,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
347,EB02-045,,Trafalgar Law,3966,629145,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
355,EB02-048,,Brook,3970,629149,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
365,EB02-052,,Enel,3975,629154,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
371,EB02-054,,Sanji,3978,629157,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
382,EB02-056,,Vegapunk,3981,629160,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
394,EB02-061,,Monkey.D.Luffy,3987,629166,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=5; flagged_needs_manual_review,5,5,medium,1
399,EB02-061,,Monkey.D.Luffy,3987,629166,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=5; flagged_needs_manual_review,5,5,medium,1
403,EB03-001,,Nefeltari Vivi,5263,672740,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
409,EB03-003,,Uta,5266,672743,117,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
423,EB03-008,,Hibari,5272,672749,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
435,EB03-013,,Carrot,5278,672755,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
447,EB03-018,,Tashigi,5284,672761,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
463,EB03-024,,Nefeltari Vivi,5291,672768,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
469,EB03-025,,Hina,5293,672770,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
473,EB03-026,,Boa Hancock,5295,672772,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
487,EB03-031,,Vinsmoke Reiju,5301,672778,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
497,EB03-034,,Charlotte Linlin,5305,672782,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
513,EB03-041,,Kujyaku,5313,672790,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
517,EB03-042,,Koala,5315,672792,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
527,EB03-045,,Perona,5319,672796,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
547,EB03-053,,Nami,5328,672805,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
555,EB03-055,,Nico Robin,5331,672808,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
563,EB03-057,,Yamato,5334,672811,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
573,EB03-061,,Uta,5339,672816,117,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
579,EB03-062,,Trafalgar Law,5342,672819,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
582,EB04-001,,Jewelry Bonney,5414,685296,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
584,EB04-002,,Jewelry Bonney,5416,685298,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
591,EB04-007,,Roronoa Zoro,5422,685304,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
599,EB04-012,,Kikunojo,5091,668645,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
603,EB04-013,,Carrot,5093,668659,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
615,EB04-018,,Megalo,5053,666532,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
625,EB04-022,,Issho,5056,666537,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
629,EB04-023,,Chaka & Pell,5077,668529,67,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;card_name_substring_product;source_tcgcsv,medium_confidence_tier,1,1,medium,0
634,EB04-025,,Nefeltari Vivi,5095,668671,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
648,EB04-031,,King,5058,666540,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
660,EB04-036,,Foxy,5096,668752,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
666,EB04-038,,Rosinante & Law,5099,669240,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
678,EB04-043,,Kaku,5428,685310,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
680,EB04-044,,Koby,5430,685312,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
686,EB04-048,,Rob Lucci,5436,685318,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
691,EB04-052,,Sanji,5441,685323,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
698,EB04-058,,Borsalino,5448,685330,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
702,EB04-061,,Monkey.D.Luffy,5452,685334,81,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
791,OP01-016,,Nami,2387,527035,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,large_candidate_pool n=8; multiple_scored_candidates n=8; flagged_needs_manual_review,8,8,medium,1
794,OP01-016,,Nami,3375,587966,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,large_candidate_pool n=8; multiple_scored_candidates n=8; flagged_needs_manual_review,8,8,medium,1
831,OP01-024,,Monkey.D.Luffy,3253,586178,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
929,OP01-047,,Trafalgar Law,2259,516554,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
946,OP01-051,,"Eustass""Captain""Kid",2143,501677,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
947,OP01-051,,"Eustass""Captain""Kid",3336,586892,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
982,OP01-060,,Donquixote Doflamingo,3191,581006,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
1027,OP01-073,,Donquixote Doflamingo,2958,545923,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=5; flagged_needs_manual_review,5,5,medium,1
1046,OP01-078,,Boa Hancock,2260,516555,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=5; flagged_needs_manual_review,5,5,medium,1
1068,OP01-086,,Overheat,419,454617,67,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;card_name_substring_product;source_tcgcsv,medium_confidence_tier,1,1,medium,0
1156,OP01-120,,Shanks,459,454666,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=7; multiple_scored_candidates n=7; flagged_needs_manual_review,7,7,medium,1
1161,OP01-120,,Shanks,459,454666,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=7; multiple_scored_candidates n=7; flagged_needs_manual_review,7,7,medium,1
1170,OP01-121,,Yamato,2388,527036,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,large_candidate_pool n=6; multiple_scored_candidates n=6; flagged_needs_manual_review,6,6,medium,1
1176,OP02-001,,Edward.Newgate,483,483470,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
1177,OP02-001,,Edward.Newgate,483,483470,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
1180,OP02-001,,Edward.Newgate,483,483470,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=4; flagged_needs_manual_review,4,4,medium,1
1183,OP02-002,,Monkey.D.Garp,484,483627,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
1189,OP02-004,,Edward.Newgate,514,485861,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=6; multiple_scored_candidates n=6; flagged_needs_manual_review,6,6,medium,1
1190,OP02-004,,Edward.Newgate,514,485861,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=6; multiple_scored_candidates n=6; flagged_needs_manual_review,6,6,medium,1
1194,OP02-004,,Edward.Newgate,514,485861,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=6; multiple_scored_candidates n=6; flagged_needs_manual_review,6,6,medium,1
1224,OP02-013,,Portgas.D.Ace,515,485862,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=6; multiple_scored_candidates n=6; flagged_needs_manual_review,6,6,medium,1
1228,OP02-013,,Portgas.D.Ace,2975,558019,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,large_candidate_pool n=6; multiple_scored_candidates n=6; flagged_needs_manual_review,6,6,medium,1
1246,OP02-017,,Masked Deuce,517,485864,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
1250,OP02-018,,Marco,516,485863,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=9; multiple_scored_candidates n=9; flagged_needs_manual_review,9,9,medium,1
1251,OP02-018,,Marco,516,485863,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=9; multiple_scored_candidates n=9; flagged_needs_manual_review,9,9,medium,1
1256,OP02-018,,Marco,516,485863,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=9; multiple_scored_candidates n=9; flagged_needs_manual_review,9,9,medium,1
1257,OP02-018,,Marco,516,485863,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,large_candidate_pool n=9; multiple_scored_candidates n=9; flagged_needs_manual_review,9,9,medium,1
1272,OP02-023,,You May Be a Fool...but I Still Love You,529,486343,67,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;card_name_substring_product;source_tcgcsv,medium_confidence_tier,1,1,medium,0
1277,OP02-025,,Kin'emon,486,483629,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
1281,OP02-026,,Sanji,485,483628,127,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
1287,OP02-028,,Usopp,534,486348,55,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,medium_confidence_tier,1,1,medium,0
1293,OP02-030,,Kouzuki Oden,491,484627,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=2; flagged_needs_manual_review,2,2,medium,1
1303,OP02-033,,Jinbe,539,486353,55,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,medium_confidence_tier,1,1,medium,0
1313,OP02-035,,Trafalgar Law,541,486355,55,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,large_candidate_pool n=7; multiple_scored_candidates n=7; flagged_needs_manual_review,7,7,medium,1
1317,OP02-036,,Nami,472,482429,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,multiple_scored_candidates n=3; flagged_needs_manual_review,3,3,medium,1
