relationship_id,card_id,related_entity,related_entity_type,relationship_type,evidence_source,confidence,status,notes,created_at,updated_at
14,PRB02-008,OP13-002,leader,provides_draw,operator_knowledge_2026_03_24,high,verified,"Marco KO triggers both his own On KO draw 2 and Ace Leader draw 1 simultaneously, making him the single highest-value draw trigger in the deck.",2026-03-25 05:53:39,2026-03-25 05:53:39
15,OP13-054,OP13-002,leader,provides_don_acceleration,operator_knowledge_2026_03_24,high,verified,"OP13-054 Yamato draws cards, interacts with board, and attaches DON!! back to Leader. Keeps the Leader effect online while developing pressure. One of the smoothest cards in the Ace shell.",2026-03-25 05:53:39,2026-03-25 05:53:39
16,OP13-119,OP13-002,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,"OP13-119 character Ace combines draw, removal, and DON!! reattachment in a single On Play effect. Advances hand quality, board control, and Leader engine support simultaneously.",2026-03-25 05:53:39,2026-03-25 05:53:39
17,OP13-043,OP13-002,leader,provides_draw,operator_knowledge_2026_03_24,high,verified,"OP13-043 Otama draw 2 trash 1 is live from turn 1 because Ace starts at 3 Life, immediately satisfying her 3 or less Life condition. Core early hand-fixing piece.",2026-03-25 05:53:39,2026-03-25 05:53:39
18,OP13-042,OP13-002,leader,enables_finisher,operator_knowledge_2026_03_24,high,verified,"OP13-042 12000-power Edward Newgate Blocker reloads Leader DON!!, strengthens another character, and improves hand on entry. Anchors late game while setting up the next pressure turn.",2026-03-25 05:53:39,2026-03-25 05:53:39
19,OP13-057,OP13-002,leader,enables_finisher,operator_knowledge_2026_03_24,high,verified,OP13-057 at 1 or less Life prevents opponent from activating Blockers when Ace Leader attacks. Turns Ace into a sudden unblockable closer when opponent believes they have stabilized.,2026-03-25 05:53:39,2026-03-25 05:53:39
20,OP13-016,OP13-002,leader,searches_target,operator_knowledge_2026_03_24,high,verified,OP13-016 Monkey D Garp is the turn 1 priority in Ace lists. Starts hand-building immediately so the deck reaches its 6000-power body package consistently by midgame.,2026-03-25 05:53:39,2026-03-25 05:53:39
21,ST22-015,OP13-002,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,ST22-015 I Am Whitebeard is a defensive Event glue card that makes Ace survival into late game reliable. Pairs with the draw engine to give the deck both offense and defense.,2026-03-25 05:53:39,2026-03-25 05:53:39
22,OP08-047,OP13-002,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,"OP08-047 Jozu keeps the 6000+ power body count high, ensuring the Leader draw effect stays active throughout the game even after board trades.",2026-03-25 05:53:39,2026-03-25 05:53:39
23,OP13-099,OP13-079,leader,enables_finisher,operator_knowledge_2026_03_24,high,verified,"OP13-099 The Empty Throne lets you play a Five Elders character for 3 cost up to your DON!! count. Without this Stage, Imu has no payoff. With it, one turn floods the board with multiple massive bodies.",2026-03-25 05:53:39,2026-03-25 05:53:39
24,OP13-082,OP13-099,card,payoff_for_setup,operator_knowledge_2026_03_24,high,verified,OP13-082 Five Elders is the primary payoff card played through The Empty Throne. The entire Imu setup phase exists to make this card land as early and as cleanly as possible.,2026-03-25 05:53:39,2026-03-25 05:53:39
25,OP13-084,OP13-082,card,enables_finisher,operator_knowledge_2026_03_24,high,verified,OP13-084 Ju Peter sets base power of Five Elders to 7000. Turns a large board into a lethal board. The difference between 5000 and 7000 across multiple bodies is what closes games.,2026-03-25 05:53:39,2026-03-25 05:53:39
26,OP13-086,OP13-079,leader,searches_target,operator_knowledge_2026_03_24,high,verified,OP13-086 Saint Shalria builds both hand and trash simultaneously in early turns. Both zones are required for the Imu engine. She can be cashed in with Leader effect once her job is done.,2026-03-25 05:53:39,2026-03-25 05:53:39
27,OP13-096,OP13-079,leader,searches_target,operator_knowledge_2026_03_24,high,verified,OP13-096 The Five Elders Are at Your Service builds hand and fills trash simultaneously. Speeds up the exact dual-zone setup Imu needs before The Empty Throne can fire effectively.,2026-03-25 05:53:39,2026-03-25 05:53:39
28,OP13-083,OP13-079,leader,payoff_for_setup,operator_knowledge_2026_03_24,high,verified,OP13-083 Saturn On Play extends value and sets up future Five Elders turns. Part of what makes Imu feel like it can reload pressure across multiple waves instead of firing once.,2026-03-25 05:53:39,2026-03-25 05:53:39
29,OP13-089,OP13-079,leader,payoff_for_setup,operator_knowledge_2026_03_24,high,verified,OP13-089 Warcury On KO finds more Five Elders pieces. Opponent removing him actively helps Imu set up the next wave. No clean answer exists for this card.,2026-03-25 05:53:39,2026-03-25 05:53:39
30,OP13-080,OP13-079,leader,provides_removal,operator_knowledge_2026_03_24,high,verified,OP13-080 Nusjuro handles opposing characters during setup window. Imu cannot goldfish setup forever. Nusjuro buys the time the engine needs to reach payoff safely.,2026-03-25 05:53:39,2026-03-25 05:53:39
31,OP13-091,OP13-079,leader,provides_removal,operator_knowledge_2026_03_24,high,verified,OP13-091 Mars keeps opposing threats in check during setup window. Prevents opponent from running away with the game while Imu assembles its Five Elders engine.,2026-03-25 05:53:39,2026-03-25 05:53:39
32,OP14-027,OP14-020,leader,provides_removal,operator_knowledge_2026_03_24,high,verified,"OP14-027 Shanks when rested by Leader effect immediately rests an opposing character with 7000 power or less. While rested, all opposing characters lose 1000 power. Leader activation becomes board control.",2026-03-25 05:53:39,2026-03-25 05:53:39
33,OP14-027,OP14-020,leader,enables_tempo_swing,operator_knowledge_2026_03_24,high,verified,Mihawk resting Shanks with Leader effect converts the DON!! reactivation into simultaneous board control plus power debuff. One activation does two things at once.,2026-03-25 05:53:39,2026-03-25 05:53:39
34,OP14-119,OP14-020,leader,enables_finisher,operator_knowledge_2026_03_24,high,verified,"OP14-119 Mihawk character when rested locks an opposing character with cost 9 or less from becoming active next turn. Leader rests him on entry, so lock effect is immediate with no wait.",2026-03-25 05:53:39,2026-03-25 05:53:39
35,OP12-034,OP14-020,leader,searches_target,operator_knowledge_2026_03_24,high,verified,OP12-034 Perona looks at top 5 and grabs a Slash character or green Event on play. Primary consistency engine for Mihawk shell. Without her the deck lacks the pieces it needs at the right time.,2026-03-25 05:53:39,2026-03-25 05:53:39
36,OP14-039,OP14-020,leader,provides_draw,operator_knowledge_2026_03_24,high,verified,OP14-039 Coffin Boat draws 1 on entry and sets a DON!! active at end of turn if Leader is Mihawk. Free consistent value that works alongside the engine instead of against it.,2026-03-25 05:53:39,2026-03-25 05:53:39
37,OP14-029,OP14-020,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,OP14-029 Tashigi is a 5-cost character that immediately turns the Leader effect on. Her self-rest power gain and removal protection reward the same self-rest plan the Leader already wants.,2026-03-25 05:53:39,2026-03-25 05:53:39
38,ST24-004,OP14-020,leader,payoff_for_setup,operator_knowledge_2026_03_24,high,verified,"ST24-004 Law and Bepo rests an opposing character on entry and locks it through next refresh. If opponent has 2 or more rested characters, Leader gains 2000 power. Punishes what Mihawk creates.",2026-03-25 05:53:39,2026-03-25 05:53:39
39,OP06-038,OP14-020,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,"OP06-038 Trichiliocosm counter Event scales to plus 4000 when you have 8 or more rested cards. Mihawk naturally ends turns with many rested cards, making this bonus consistently achievable.",2026-03-25 05:53:39,2026-03-25 05:53:39
40,OP06-106,OP14-041,leader,searches_target,operator_knowledge_2026_03_24,high,verified,OP06-106 Hiyori lets you swap a card from Life with one from hand. Boa wants specific Trigger cards loaded in Life. Hiyori sculpts the Life pile so the right cards are waiting when attacked.,2026-03-25 05:53:39,2026-03-25 05:53:39
41,OP14-113,OP14-041,leader,searches_target,operator_knowledge_2026_03_24,high,verified,OP14-113 Marguerite searches top 5 for Amazon Lily or Kuja Pirates card on play and is also a Trigger body herself. Never doing just one job. Core consistency piece.,2026-03-25 05:53:39,2026-03-25 05:53:39
42,OP14-105,OP14-041,leader,enables_tempo_swing,operator_knowledge_2026_03_24,high,verified,OP14-105 Gorgon Sisters reveals 3 Amazon Lily or Kuja Pirates to give all characters a rested DON!! including Leader. Also a Trigger. Turns a pile of small pieces into real board pressure.,2026-03-25 05:53:39,2026-03-25 05:53:39
43,OP12-119,OP14-041,leader,provides_life_recovery,operator_knowledge_2026_03_24,high,verified,OP12-119 Kuma adds a card to Life on entry and another if KOd on opponent turn. Keeps Trigger engine loaded from both directions. Major reason current Hancock lists feel more resilient.,2026-03-25 05:53:39,2026-03-25 05:53:39
44,OP14-112,OP14-041,leader,enables_finisher,operator_knowledge_2026_03_24,high,verified,OP14-112 Boa Hancock On Play adds card to your Life and sends top opponent Life card to their hand. Trigger plays a 6000-or-less Trigger character from hand. Massive Life swing in both directions.,2026-03-25 05:53:39,2026-03-25 05:53:39
45,OP14-108,OP14-041,leader,provides_removal,operator_knowledge_2026_03_24,high,verified,OP14-108 Rayleigh On Play or Trigger KOs an opposing character with 7000 base power or less if opponent is at 3 or less Life. Late game Trigger hit becomes free removal on key body.,2026-03-25 05:53:39,2026-03-25 05:53:39
46,OP14-103,OP14-041,leader,searches_target,operator_knowledge_2026_03_24,high,verified,OP14-103 Gloriosa moves cards between hand and Life keeping Trigger pile useful. Also a Trigger herself. Double duty card that improves Life quality while being live off a Life hit.,2026-03-25 05:53:39,2026-03-25 05:53:39
47,OP14-114,OP14-041,leader,provides_don_acceleration,operator_knowledge_2026_03_24,high,verified,OP14-114 Ran is a 5000-power Trigger body that gives a rested DON!! to Kuja Pirates Leader or character on entry. Keeps Leader DON!! x1 condition live which is critical for the KO punishment.,2026-03-25 05:53:39,2026-03-25 05:53:39
48,OP15-061,OP15-058,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,OP15-061 Ohm is a core early Vassal. Baseline 2000 power becomes 6000 when Leader attaches 4 DON!!. On Play DON!! minus 1 draws 1 card. Self-replacing setup piece that fuels turn 2 acceleration.,2026-03-25 05:53:39,2026-03-25 05:53:39
49,OP15-063,OP15-058,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,OP15-063 Gedatsu is a core Vassal. Same profile as Ohm. The deck wants multiple Vassals consistently in opening hand so Leader always has a good target for DON!! attachment.,2026-03-25 05:53:39,2026-03-25 05:53:39
50,OP15-066,OP15-058,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,OP15-066 Satori is a core Vassal. The early plan is not one special setup card. It is seeing enough cheap bodies that Leader effect always has a target. Satori keeps that reliable.,2026-03-25 05:53:39,2026-03-25 05:53:39
51,OP15-067,OP15-058,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,OP15-067 Shura is the fourth core Vassal. Mulligan for at least two of these four Vassals to get the opening the deck is designed around.,2026-03-25 05:53:39,2026-03-25 05:53:39
52,OP15-071,OP15-058,leader,enables_tempo_swing,operator_knowledge_2026_03_24,high,verified,OP15-071 Holly gives herself and all Ohm cards Double Attack and 6000 base power on opponent turn. Small Vassal board becomes a board that hits twice and defends at 6000 simultaneously.,2026-03-25 05:53:39,2026-03-25 05:53:39
53,OP15-118,OP15-058,leader,enables_finisher,operator_knowledge_2026_03_24,high,verified,OP15-118 Enel at 6 or less DON!! becomes 10000 power and cannot be removed by effects. On Play looks at top 5 for 1 DON!!. Pressure and consistency in one card. Chains into the next Enel.,2026-03-25 05:53:39,2026-03-25 05:53:39
54,OP15-060,OP15-058,leader,enables_finisher,operator_knowledge_2026_03_24,high,verified,OP15-060 Enel same 10000 power and effect immunity at 6 or less DON!!. Activate Main gives Blocker for 1 DON!!. Can swing hard on your turn then defend on opponent turn without losing momentum.,2026-03-25 05:53:39,2026-03-25 05:53:39
55,OP15-078,OP15-058,leader,provides_removal,operator_knowledge_2026_03_24,high,verified,OP15-078 Mamaragan Main draws 1 and rests opposing character with 5000 power or less for 2 DON!!. Counter gives plus 1000 and draws 1 at 6 or less DON!!. Best example of Enel converting DON!! spend into tempo.,2026-03-25 05:53:39,2026-03-25 05:53:39
56,OP15-077,OP15-058,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,OP15-077 Lightning Dragon 0 cost spends 1 DON!! to draw 1 and lock a rested opposing character from becoming active next refresh. Pairs with Mamaragan to rest then lock bodies.,2026-03-25 05:53:39,2026-03-25 05:53:39
57,OP15-077,OP15-078,card,frequently_appears_with,operator_knowledge_2026_03_24,high,verified,"Lightning Dragon and Mamaragan form a two-card tempo sequence: Mamaragan rests a body, Lightning Dragon locks it down next turn. Consistently paired in Enel lists.",2026-03-25 05:53:39,2026-03-25 05:53:39
58,OP15-076,OP15-058,leader,provides_removal,operator_knowledge_2026_03_24,high,verified,OP15-076 Lightning Beast Kiten 0 cost spends 1 DON!! to draw 1 and give opposing character minus 1000 power. Lowers power threshold so Mamaragan can reach bodies it otherwise cannot rest.,2026-03-25 05:53:39,2026-03-25 05:53:39
59,OP15-076,OP15-078,card,frequently_appears_with,operator_knowledge_2026_03_24,high,verified,"Kiten and Mamaragan are paired tempo tools: Kiten lowers power by 1000, Mamaragan rests at 5000 or less. Together they handle bodies up to 6000 base power.",2026-03-25 05:53:39,2026-03-25 05:53:39
60,OP07-064,OP15-058,leader,supports_leader,operator_knowledge_2026_03_24,high,verified,OP07-064 Sanji costs 3 less and gains Blocker when your DON!! is at least 2 lower than opponent. In Enel that condition is almost always met. Strong defensive body that fits the lower-DON profile naturally.,2026-03-25 05:53:39,2026-03-25 05:53:39
259630,EB01-002,EB01-001,leader,supports_leader,text_analysis_2026_03_24,high,inferred,"trait match: land of wano, color match: red, leader requires Land of Wano type, card has that trait, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259631,EB01-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259632,EB01-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259633,EB01-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259634,EB01-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,high,inferred,"trait match: land of wano, color match: red, leader requires Land of Wano type, card has that trait, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259635,EB01-008,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259636,EB01-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259637,EB01-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259638,EB01-011,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259639,EB02-001,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259640,EB02-002,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259641,EB02-003,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259642,EB02-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259643,EB02-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259644,EB02-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,high,inferred,"trait match: land of wano, color match: red, leader requires Land of Wano type, card has that trait, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259645,EB02-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259646,EB02-008,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259647,EB02-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259648,EB03-002,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259649,EB03-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259650,EB03-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259651,EB03-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259652,EB03-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259653,EB03-008,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259654,EB03-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259655,EB03-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259656,EB03-011,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259657,EB04-002,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259658,EB04-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259659,EB04-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259660,OP01-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259661,OP01-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259662,OP01-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259663,OP01-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259664,OP01-008,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259665,OP01-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259666,OP01-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259667,OP01-011,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259668,OP01-012,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259669,OP01-013,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259670,OP01-014,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259671,OP01-015,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259672,OP01-016,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259673,OP01-017,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259674,OP01-018,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259675,OP01-019,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259676,OP01-020,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259677,OP01-021,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259678,OP01-022,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259679,OP01-023,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259680,OP01-024,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259681,OP01-025,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259682,OP01-030,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259683,OP01-120,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259684,OP02-003,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259685,OP02-004,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259686,OP02-005,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259687,OP02-006,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259688,OP02-007,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259689,OP02-008,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259690,OP02-009,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259691,OP02-010,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259692,OP02-011,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259693,OP02-012,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259694,OP02-013,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259695,OP02-014,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,"color match: red, leader has DON!! condition, card interacts with DON!!",2026-03-25 16:14:31,2026-03-25 16:14:31
259696,OP02-015,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
259697,OP02-016,EB01-001,leader,supports_leader,text_analysis_2026_03_24,low,inferred,color match: red,2026-03-25 16:14:31,2026-03-25 16:14:31
