card_id,insight_type,insight_text,confidence,updated_at,quality_tier,source_ref,leader_code,generated_at,used_sections_json,sync_reason,source_updated_at,approval_state,is_upcoming
OP10-032,usage,Tashigi is a core piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.743,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144503,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-033,usage,Nami is a core piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.743,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144503,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-034,usage,Franky is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.679,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144503,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-027,usage,Kin'emon is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.637,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP10-001,1774144503,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-028,usage,"Kouzuki Momonosuke is a flex piece in OP10-001 lists. It shows up, but not in every list.",0.617,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144504,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-029,usage,"Dracule Mihawk is a tech option in OP10-001 lists. It shows up, but not in every list.",0.553,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144504,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-030,usage,"Smoker is a tech option in OP10-001 lists. It shows up, but not in every list.",0.553,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144504,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-022,usage,Trafalgar Law is a core piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.743,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144504,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-023,usage,"Issho is a tech option in OP10-001 lists. It shows up, but not in every list.",0.553,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144505,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-024,usage,"Edward.Newgate is a tech option in OP10-001 lists. It shows up, but not in every list.",0.553,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144505,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-025,usage,"Enel is a tech option in OP10-001 lists. It shows up, but not in every list.",0.553,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144505,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-026,usage,Kin'emon is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.659,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144505,"[""top_leaders"", ""usage_meta""]",source_depth_followup,2026-03-20 03:12:02,,0
OP10-014,usage,"Franky is a tech option in OP10-001 lists. It shows up, but not in every list.",0.553,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144506,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-016,usage,Monet is a core piece in OP10-001 lists. Lists often run about 3.9 copies.,0.827,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144506,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-017,usage,Rock is a core piece in OP10-001 lists. Lists often run about 3.8 copies.,0.827,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144507,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-018,usage,Ten-Layer Igloo is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.637,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP10-001,1774144507,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-019,usage,Divine Departure is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.637,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP10-001,1774144507,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-020,usage,Gum-Gum UFO is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.637,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP10-001,1774144508,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-021,usage,Punk Hazard is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.637,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP10-001,1774144508,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-006,usage,"Caesar Clown is a tech option in OP10-001 lists. It shows up, but not in every list.",0.553,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP10-001,1774144508,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-007,usage,Ceaser Soldier is a core piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.764,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144509,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-008,usage,Scotch is a core piece in OP10-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP10-001,1774144509,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-27 08:04:34,,0
OP10-010,usage,Chadros.Higelyges (Brownbeard) is a core piece in OP10-001 lists. Lists often run about 3.6 copies.,0.784,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144510,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-011,usage,Tony Tony.Chopper is a core piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.743,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|official-deck-features,OP10-001,1774144510,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-012,usage,Dragon Number Thirteen is a core piece in OP10-001 lists. Lists often run about 4.1 copies.,0.806,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144510,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP10-004,usage,Vergo is a flex piece in OP10-001 lists. You’ll see it in a solid chunk of those lists.,0.637,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP10-001,1774144512,"[""top_leaders"", ""usage_meta""]",force_rebuild,2026-03-21 18:50:02,,0
OP10-005,usage,Sanji is a core piece in OP10-001 lists. Lists often run about 3.5 copies.,0.784,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP10-001,1774144513,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP09-058,ruling,OP09-058 opponent chooses return target per errata page.,0.925,2026-03-16 12:10:35,contextual,official|official-cardlist|optcg-api,,1774144527,"[""rulings""]",publish_eligible_allowlist,2026-03-20 03:11:59,,0
OP07-097,ruling,OP07-097 official errata text per Errata Cards page.,0.925,2026-03-16 12:08:33,contextual,official|official-cardlist|official-errata-cards|official-rules-faq,,1774144582,"[""rulings""]",publish_eligible_allowlist,2026-03-22 07:10:37,,0
OP07-045,ruling,"Banned under current Standard rules — unbanned effective April 1, 2026. Verify your event's format.",0.93,2026-03-22,contextual,official|official-cardlist|official-restriction-notices|optcg-api,,1774144597,"[""legality""]",publish_eligible_allowlist,2026-03-27T04:56:37Z,,0
OP06-116,ruling,Banned for official Standard play right now — double-check your event’s format.,0.93,2026-03-20,contextual,official|official-cardlist|official-restriction-notices|optcg-api,,1774144610,"[""legality""]",publish_eligible_allowlist,2026-03-22 02:27:47,,0
OP06-086,ruling,Banned for official Standard play right now — double-check your event’s format.,0.93,2026-03-20,contextual,official|official-cardlist|official-restriction-notices|optcg-api,,1774144619,"[""legality""]",publish_eligible_allowlist,2026-03-22 02:27:15,,0
OP06-034,ruling,"Hyouzou trait Merfolk per December 6, 2024 errata.",0.925,2026-03-16 12:06:38,contextual,official|official-cardlist|optcg-api,,1774144630,"[""rulings""]",publish_eligible_allowlist,2026-03-22 02:26:22,,0
OP05-032,ruling,Pica errata: rest 1 Character (not up to 1) per official list.,0.925,2026-03-16 12:05:25,contextual,official|official-cardlist|optcg-api,,1774144661,"[""rulings""]",publish_eligible_allowlist,2026-03-22 02:24:03,,0
OP03-098,ruling,"Banned under current Standard rules — unbanned effective April 1, 2026. Verify your event's format.",0.93,2026-03-22,contextual,official|official-cardlist|official-restriction-notices|optcg-api,,1774144718,"[""legality""]",publish_eligible_allowlist,2026-03-22T12:00:00Z,,0
OP03-054,ruling,Trigger: Draw 1 then optional trash per errata.,0.925,2026-03-09 17:51:41,contextual,official|official-cardlist|optcg-api,,1774144728,"[""rulings""]",publish_eligible_allowlist,2026-03-22 02:20:05,,0
OP03-047,ruling,Zeff On Play return optional per errata.,0.925,2026-03-09 17:51:37,contextual,official|official-cardlist|optcg-api,,1774144733,"[""rulings""]",publish_eligible_allowlist,2026-03-22 02:19:58,,0
OP03-040,ruling,Banned for official Standard play right now — double-check your event’s format.,0.93,2026-03-20,contextual,official|official-cardlist|official-restriction-notices|optcg-api,,1774144737,"[""legality""]",publish_eligible_allowlist,2026-03-22 02:19:35,,0
OP03-011,usage,Blamenco is a core piece in OP03-001 lists. Lists often run about 3.3 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP03-001,1774144737,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-012,usage,Marshall.D.Teach is a core piece in OP03-001 lists. Lists often run about 2.3 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP03-001,1774144738,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-013,usage,Marco is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144738,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-014,usage,Monkey.D.Garp is a flex piece in OP03-001 lists. You’ll see it in a solid chunk of those lists.,0.69,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP03-001,1774144738,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:18:55,,0
OP03-015,usage,Lim is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144738,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-016,usage,Flame Emperor is a core piece in OP03-001 lists. Lists often run about 2.0 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP03-001,1774144739,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:18:57,,0
OP03-017,usage,Cross Fire is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144739,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-018,usage,Fire Fist is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144739,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-019,usage,Fiery Doll is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144739,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-020,usage,Striker is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144740,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-117,ruling,"Banned under current Standard rules — unbanned effective April 1, 2026. Verify your event's format.",0.93,2026-03-22,contextual,official|official-cardlist|official-restriction-notices|optcg-api,,1774144743,"[""legality""]",publish_eligible_allowlist,2026-03-22T12:00:00Z,,0
OP03-003,usage,Izo is a core piece in OP03-001 lists. Lists often run about 4.0 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP03-001,1774144744,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-004,usage,Curiel is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144744,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-005,usage,Thatch is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144745,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-006,usage,Speed Jil is a flex piece in OP03-001 lists. You’ll see it in a solid chunk of those lists.,0.69,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP03-001,1774144745,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:18:48,,0
OP03-007,usage,Namule is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144745,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-008,usage,Buggy is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144745,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-009,usage,Haruta is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144746,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP03-010,usage,Fossa is a core piece in OP03-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP03-001,1774144746,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-071,ruling,Magellan: any DON!! on field returned triggers per errata.,0.925,2026-03-09 17:50:33,contextual,official|official-cardlist|official-errata-cards|optcg-api,,1774144758,"[""rulings""]",publish_eligible_allowlist,2026-03-22 02:17:49,,0
OP02-018,usage,Marco is a core piece in OP02-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP02-001,1774144765,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-019,usage,Rakuyo is a core piece in OP02-001 lists. Lists often run about 3.0 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP02-001,1774144765,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-020,usage,LittleOars Jr. is a tech option in OP02-001 lists.,0.59,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP02-001,1774144765,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 02:16:57,,0
OP02-021,usage,Seaquake is a core piece in OP02-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP02-001,1774144765,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-022,usage,Whitebeard Pirates is a core piece in OP02-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP02-001,1774144766,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-023,usage,You May Be a Fool...but I Still Love You is a core piece in OP02-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP02-001,1774144766,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-024,usage,Moby Dick is a core piece in OP02-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official|official-cardlist|official-restriction-notices|optcg-api,OP02-001,1774144766,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP01-120,usage,Shanks is a flex piece in OP01-001 lists. You’ll see it in a solid chunk of those lists.,0.636,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP01-001,1774144770,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 02:16:18,,0
OP02-003,usage,Atmos is a core piece in OP02-001 lists. Lists often run about 2.7 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP02-001,1774144771,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-004,usage,Edward.Newgate is a flex piece in OP02-001 lists. You’ll see it in a solid chunk of those lists.,0.69,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP02-001,1774144771,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:16:35,,0
OP02-006,usage,Kingdew is a flex piece in OP02-001 lists. You’ll see it in a solid chunk of those lists.,0.69,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP02-001,1774144772,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:16:42,,0
OP02-007,usage,"Thatch is a tech option in OP02-001 lists. It shows up, but not in every list.",0.59,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP02-001,1774144772,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 02:16:43,,0
OP02-008,usage,Jozu is a core piece in OP02-001 lists. Lists often run about 3.0 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP02-001,1774144772,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-009,usage,Squard is a core piece in OP02-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP02-001,1774144773,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-010,usage,Dogura is a flex piece in OP02-001 lists. You’ll see it in a solid chunk of those lists.,0.69,2026-03-21 18:50:02,contextual,deck_intel|official|official-cardlist|optcg-api,OP02-001,1774144773,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-011,usage,Vista is a core piece in OP02-001 lists. Lists often run about 3.0 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP02-001,1774144773,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-012,usage,Blenheim is a core piece in OP02-001 lists. Lists often run about 3.0 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP02-001,1774144773,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-013,usage,Portgas.D.Ace is a core piece in OP02-001 lists. Lists often run about 3.0 copies.,0.79,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist|optcg-api,OP02-001,1774144774,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-014,usage,Whitey Bay is a flex piece in OP02-001 lists. You’ll see it in a solid chunk of those lists.,0.69,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP02-001,1774144774,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:16:50,,0
OP02-015,usage,Makino is a core piece in OP02-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP02-001,1774144774,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP02-016,usage,Magura is a flex piece in OP02-001 lists. You’ll see it in a solid chunk of those lists.,0.69,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP02-001,1774144774,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:16:52,,0
OP02-017,usage,Masked Deuce is a core piece in OP02-001 lists. It’s almost always played at four copies.,0.89,2026-03-21 18:50:02,evidenced,deck_intel|official-cardlist|optcg-api,OP02-001,1774144775,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 15:28:36,,0
OP01-016,usage,Nami is a flex piece in OP01-001 lists. You’ll see it in a solid chunk of those lists.,0.708,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP01-001,1774144795,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:13:57,,0
OP01-017,usage,Nico Robin is a flex piece in OP01-001 lists. You’ll see it in a solid chunk of those lists.,0.708,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP01-001,1774144795,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:13:59,,0
OP01-018,usage,Hajrudin is a flex piece in OP01-001 lists. You’ll see it in a solid chunk of those lists.,0.636,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP01-001,1774144795,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 02:14:00,,0
OP01-019,usage,"Bartolomeo is a tech option in OP01-001 lists. It shows up, but not in every list.",0.562,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP01-001,1774144796,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 02:14:02,,0
OP01-021,usage,Franky is a flex piece in OP01-001 lists. You’ll see it in a solid chunk of those lists.,0.708,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP01-001,1774144796,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:14:05,,0
OP01-022,usage,"Brook is a tech option in OP01-001 lists. It shows up, but not in every list.",0.599,2026-03-21 18:50:02,strategic,deck_intel|official-cardlist,OP01-001,1774144796,"[""top_leaders"", ""usage_meta""]",publish_eligible_allowlist,2026-03-22 02:14:07,,0
OP01-023,usage,Marco is a flex piece in OP01-001 lists. You’ll see it in a solid chunk of those lists.,0.708,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP01-001,1774144797,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:14:09,,0
OP01-024,usage,Monkey.D.Luffy is a flex piece in OP01-001 lists. You’ll see it in a solid chunk of those lists.,0.708,2026-03-21 18:50:02,contextual,deck_intel|official-cardlist,OP01-001,1774144797,"[""top_leaders"", ""usage_meta""]",stale_promising_followup,2026-03-22 02:14:10,,0
