card_variant_id,card_code,card_name,variant_key,variant_group,tcgplayer_product_id,proposed_market_product_pk,proposed_market_product_id,proposed_market_product_name,confidence_bucket,confidence_reason,evidence_fields,candidate_count,candidate_market_product_pks,candidate_market_product_ids,candidate_market_product_names,proposed_has_usable_market_prices,candidates_with_usable_market_prices
6287,OP15-116,Gum-Gum Golden Rifle,alt,alt,,,,,NEEDS_REVIEW,R2:set_code+clean_name,deterministic_candidate_pool_without_unique_resolution,1,5592,685474,Gum-Gum Golden Rifle,,1
6290,OP15-118,Enel,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
6293,OP15-119,Monkey.D.Luffy,alt,alt,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7263,ST10-001,Trafalgar Law,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7265,ST10-002,Monkey.D.Luffy,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7267,ST10-003,"Eustass""Captain""Kid",base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7269,ST10-004,Sanji,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7285,ST10-007,Killer,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7293,ST10-009,Jean Bart,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7305,ST10-011,Heat,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7307,ST10-012,Bepo,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7315,ST10-014,Wire,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7317,ST10-015,Gum-Gum Giant Sumo Slap,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7319,ST10-016,Gum-Gum Kong Gatling,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7321,ST10-017,Punk Vise,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7403,ST13-005,Emporio.Ivankov,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7407,ST13-006,Curly.Dadan,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7417,ST13-008,Sabo,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7421,ST13-009,Shanks,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7443,ST13-013,Monkey.D.Garp,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7464,ST13-017,Flame Dragon King,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7466,ST13-018,Gum-Gum Jet Spear,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7635,ST21-001,Monkey.D.Luffy,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7642,ST21-002,Usopp,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7651,ST21-004,Jewelry Bonney,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7655,ST21-005,Jinbe,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7658,ST21-006,Stussy,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7661,ST21-007,Sentomaru,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7665,ST21-008,Tony Tony.Chopper,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7670,ST21-009,Nami,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7673,ST21-010,Nico Robin,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7676,ST21-011,Franky,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7679,ST21-012,Brook,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7682,ST21-013,Vegapunk,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
7699,ST21-016,Gum-Gum Dawn Whip,base,base,,,,,NO_CANDIDATE,no_deterministic_candidate,no_direct_anchor; no_unique_structured_signals,0,,,,,0
